county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1150.0,3.168256,8.0552,0.1217017,0.0,5.8079743,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.11390937
1152.0,3.8626227,7.922947,0.8605217,0.0,6.2116565,1.0,1.0,0.0,4.0,0.16453837,0.18776148,0.0,0.085646263,0.085646263
1153.0,2.2682007,6.569856,0.0,0.0,6.0704696,1.0,0.0,0.0,1.0,0.07821041,0.11653701,0.0,0.022555537,0.10324753
1154.0,3.0405144,7.676088,0.6496041,0.0,6.1744494,1.0,0.0,0.0,3.0,0.11088804,0.14518198,0.0,0.16125783,0.2159327
1155.0,3.7352858,8.14374,0.8524533,0.0,6.1777061,1.0,1.0,1.0,4.0,0.15540193,0.19336276,0.0,0.09974022,0.039923147
1157.0,3.8459259,7.848246,0.3269662,0.0,6.1221421,1.0,0.0,1.0,3.0,0.099308833,0.12433252,1.0,0.023620454,0.20780772
1158.0,4.041963,8.374416,0.82,0.0,6.1964545,1.0,0.0,1.0,8.0,0.068642614,0.068642614,1.0,0.0,0.051082168
1161.0,1.9021075,7.847946,0.0,0.0,5.8390709,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.054469719,0.14901627
1163.0,3.0824603,7.877183,0.1422181,0.0,5.5812046,1.0,0.0,1.0,3.0,0.036495024,0.036495024,1.0,0.03722492,0.21025852
1164.0,3.9442772,8.116287,0.4323415,0.0,6.1424027,1.0,0.0,1.0,8.0,0.064152486,0.064152486,1.0,0.0,0.073873549
1165.0,3.9463471,7.864197,0.5298205,0.0,5.9052801,1.0,0.0,1.0,6.0,0.025647459,0.025647459,1.0,0.0,0.10634655
1166.0,3.7651458,8.155029,0.3763147,0.0,6.1102347,1.0,0.0,1.0,11.0,0.06970727,0.089781564,1.0,0.021446548,0.12471949
1167.0,3.7523471,8.364148,0.4678349,0.0,5.5485526,1.0,0.0,1.0,6.0,0.092912929,0.092912929,1.0,0.027876786,0.10076885
1168.0,3.0150446,8.241955,0.6042776,0.0,6.0878648,1.0,0.0,1.0,2.0,0.091025525,0.14351919,1.0,0.033253909,0.18055173
